ShortLabel,ROcc_Hus,Geo
8744c1090ffffff,8,Hex
8744c1091ffffff,22,Hex
8744c1092ffffff,19,Hex
8744c1093ffffff,19,Hex
8744c1094ffffff,136,Hex
8744c1095ffffff,32,Hex
8744c1096ffffff,9,Hex
8744c1098ffffff,62,Hex
8744c1099ffffff,40,Hex
8744c109affffff,47,Hex
8744c109bffffff,85,Hex
8744c109cffffff,45,Hex
8744c109dffffff,19,Hex
8744c109effffff,93,Hex
8744c10a0ffffff,33,Hex
8744c10a1ffffff,46,Hex
8744c10a2ffffff,20,Hex
8744c10a3ffffff,0,Hex
8744c10a4ffffff,105,Hex
8744c10a5ffffff,88,Hex
8744c10a6ffffff,62,Hex
8744c10a8ffffff,120,Hex
8744c10a9ffffff,48,Hex
8744c10aaffffff,26,Hex
8744c10abffffff,57,Hex
8744c10acffffff,436,Hex
8744c10adffffff,287,Hex
8744c10aeffffff,367,Hex
8744c10b0ffffff,7,Hex
8744c10b1ffffff,14,Hex
8744c10b2ffffff,218,Hex
8744c10b3ffffff,12,Hex
8744c10b4ffffff,293,Hex
8744c10b5ffffff,10,Hex
8744c10b6ffffff,193,Hex
8744c10c0ffffff,232,Hex
8744c10c1ffffff,413,Hex
8744c10c2ffffff,129,Hex
8744c10c3ffffff,373,Hex
8744c10c4ffffff,270,Hex
8744c10c5ffffff,128,Hex
8744c10c6ffffff,178,Hex
8744c10c8ffffff,167,Hex
8744c10c9ffffff,89,Hex
8744c10caffffff,243,Hex
8744c10cbffffff,181,Hex
8744c10ccffffff,906,Hex
8744c10cdffffff,84,Hex
8744c10ceffffff,725,Hex
8744c10d0ffffff,25,Hex
8744c10d1ffffff,63,Hex
8744c10d2ffffff,94,Hex
8744c10d3ffffff,216,Hex
8744c10d4ffffff,36,Hex
8744c10d5ffffff,92,Hex
8744c10d6ffffff,12,Hex
8744c10d8ffffff,284,Hex
8744c10d9ffffff,261,Hex
8744c10daffffff,252,Hex
8744c10dbffffff,171,Hex
8744c10dcffffff,448,Hex
8744c10ddffffff,404,Hex
8744c10deffffff,193,Hex
8744c10e0ffffff,2,Hex
8744c10e1ffffff,588,Hex
8744c10e2ffffff,204,Hex
8744c10e3ffffff,48,Hex
8744c10e4ffffff,122,Hex
8744c10e5ffffff,130,Hex
8744c10e6ffffff,38,Hex
8744c10e8ffffff,136,Hex
8744c10e9ffffff,394,Hex
8744c10eaffffff,197,Hex
8744c10ebffffff,198,Hex
8744c10ecffffff,183,Hex
8744c10edffffff,167,Hex
8744c10eeffffff,307,Hex
8744c10f0ffffff,11,Hex
8744c10f1ffffff,213,Hex
8744c10f2ffffff,14,Hex
8744c10f3ffffff,190,Hex
8744c10f4ffffff,51,Hex
8744c10f5ffffff,33,Hex
8744c10f6ffffff,16,Hex
8744c1100ffffff,37,Hex
8744c1101ffffff,29,Hex
8744c1102ffffff,5,Hex
8744c1103ffffff,23,Hex
8744c1104ffffff,32,Hex
8744c1105ffffff,21,Hex
8744c1106ffffff,6,Hex
8744c1108ffffff,23,Hex
8744c1109ffffff,24,Hex
8744c110affffff,15,Hex
8744c110bffffff,30,Hex
8744c110cffffff,41,Hex
8744c110dffffff,46,Hex
