ShortLabel,ROcc_HUs,Geo
Banneker,7362,School
North Clayton,9217,School
Drew,7525,School
Fayette County,2136,School
Riverdale,4719,School
Creekside,8620,School
Jonesboro,4466,School
Luella,2462,School
Mt. Zion,5500,School
Morrow,4976,School
Stockbridge,3940,School
Woodland,1306,School
Union Grove,863,School
Ola,589,School
Salem,4025,School
Hampton,1436,School
Lovejoy,3789,School
Mundy's Mill,3675,School
McIntosh,2379,School
Starrs Mill,1501,School
Whitewater,753,School
Sandy Creek,1531,School
Dutchtown,3176,School
Eagles Landing,3886,School
Locust Grove,1375,School
McDonough,4169,School
Archer,1507,School
Mill Creek,1497,School
Seckinger,2632,School
Dacula,2114,School
Tri-Cities,13905,School
Airport,0,School
Buford,1450,School
Lanier,2568,School
Washington,7948,School
Lambert,961,School
South Forsyth,1474,School
Creekview,1298,School
Milton,3060,School
Cambridge,1486,School
North Gwinnett,1651,School
Northview,1576,School
North Cobb,6352,School
Duluth,11492,School
Chattahoochee,1868,School
Alpharetta,7167,School
Johns Creek,2129,School
Dunwoody,10615,School
Roswell,4691,School
North Atlanta,32353,School
Riverwood,11577,School
Kell,3421,School
Walton,1165,School
Lassiter,503,School
Pope,690,School
Etowah,2614,School
Cherokee,6778,School
Woodstock,6601,School
River Ridge,2449,School
Sequoyah,2654,School
Maynard Jackson,13540,School
South Atlanta,4690,School
Forest Park,5577,School
Allatoona,1349,School
Cedar Grove,1495,School
Carver,6304,School
Midtown,38102,School
Langston Hughes,4432,School
Kennesaw Mountain,2597,School
South Cobb,5548,School
Lithia Springs,6301,School
New Manchester,3476,School
Hillgrove,834,School
McEachern,2536,School
Harrison,391,School
Westlake,2511,School
Pebblebrook,6058,School
Campbell,22236,School
Alexander,1350,School
Douglas County,4149,School
Chapel Hill,1952,School
Therrell,7217,School
Douglass,7984,School
Mays,7264,School
Osborne,7598,School
Marietta,11418,School
Sprayberry,6544,School
Wheeler,17605,School
Norcross,13516,School
Lakeside,10006,School
Tucker,4676,School
Heritage,1866,School
Lithonia,7680,School
Stephenson,1920,School
Shiloh,3198,School
Stone Mountain,7828,School
Martin Luther King Jr.,3899,School
Columbia,2974,School
Southwest DeKalb,1288,School
Parkview,2358,School
Berkmar,11782,School
Druid Hills,12608,School
South Gwinnett,3161,School
Grayson,2734,School
Meadowcreek,16407,School
Clarkston,5488,School
Miller Grove,5453,School
Redan,2611,School
Decatur,3053,School
Towers,4972,School
Ronald E. McNair,5914,School
North Springs,13880,School
Centennial,6097,School
Cross Keys,9432,School
Chamblee,10422,School
Rockdale,5731,School
Central Gwinnett,6272,School
Mountain View,2004,School
Brookwood,1698,School
Discovery,5134,School
Peachtree Ridge,7867,School
Collins Hill,6502,School
Forsyth Central,3204,School
East Forsyth,1473,School
Denmark,2956,School
West Forsyth,926,School
North Forsyth,2034,School
