ShortLabel,ROcc_Hus,Geo
13057090101,238,Tract
13057090102,199,Tract
13057090103,153,Tract
13057090201,172,Tract
13057090202,343,Tract
13057090301,309,Tract
13057090302,72,Tract
13057090303,317,Tract
13057090401,2082,Tract
13057090402,1044,Tract
13057090503,25,Tract
13057090504,39,Tract
13057090505,209,Tract
13057090506,117,Tract
13057090507,71,Tract
13057090603,174,Tract
13057090604,378,Tract
13057090605,589,Tract
13057090606,404,Tract
13057090703,1196,Tract
13057090704,430,Tract
13057090705,155,Tract
13057090706,329,Tract
13057090707,467,Tract
13057090708,846,Tract
13057090709,154,Tract
13057090710,125,Tract
13057090805,94,Tract
13057090806,19,Tract
13057090807,264,Tract
13057090808,155,Tract
13057090809,195,Tract
13057090810,125,Tract
13057090905,973,Tract
13057090906,162,Tract
13057090907,161,Tract
13057090908,455,Tract
13057090909,915,Tract
13057090910,175,Tract
13057090911,101,Tract
13057090912,106,Tract
13057091001,1540,Tract
13057091006,283,Tract
13057091007,283,Tract
13057091009,738,Tract
13057091010,56,Tract
13057091011,757,Tract
13057091012,655,Tract
13057091013,1286,Tract
13057091014,625,Tract
13057091101,262,Tract
13057091104,81,Tract
13057091105,550,Tract
13057091106,366,Tract
13057091107,281,Tract
13057091108,95,Tract
13063040202,580,Tract
13063040203,1070,Tract
13063040204,1432,Tract
13063040302,1417,Tract
13063040306,1774,Tract
13063040307,341,Tract
13063040308,938,Tract
13063040309,574,Tract
13063040310,694,Tract
13063040407,554,Tract
13063040409,719,Tract
13063040410,1051,Tract
13063040414,386,Tract
13063040416,547,Tract
13063040417,1804,Tract
13063040418,177,Tract
13063040419,1638,Tract
13063040420,595,Tract
13063040421,379,Tract
13063040422,827,Tract
13063040423,694,Tract
13063040424,1133,Tract
13063040425,725,Tract
13063040426,327,Tract
13063040427,425,Tract
13063040509,411,Tract
13063040510,745,Tract
13063040512,886,Tract
13063040513,304,Tract
13063040518,873,Tract
13063040519,2582,Tract
13063040521,507,Tract
13063040522,1130,Tract
13063040523,674,Tract
13063040525,379,Tract
13063040527,536,Tract
13063040528,629,Tract
13063040529,279,Tract
13063040530,837,Tract
13063040531,978,Tract
13063040532,590,Tract
13063040533,987,Tract
13063040534,359,Tract
13063040535,688,Tract
13063040536,460,Tract
13063040537,651,Tract
13063040538,432,Tract
13063040606,430,Tract
13063040609,1156,Tract
13063040614,365,Tract
13063040615,184,Tract
13063040617,263,Tract
13063040623,665,Tract
13063040624,215,Tract
13063040625,852,Tract
13063040626,567,Tract
13063040627,455,Tract
13063040628,74,Tract
13063040629,548,Tract
13063040630,1167,Tract
13063040631,452,Tract
13063040632,2129,Tract
13063040633,323,Tract
13063040634,1270,Tract
13063040635,359,Tract
13063040636,150,Tract
13063040637,723,Tract
13063040638,317,Tract
13063040639,62,Tract
13063980000,0,Tract
13067030104,680,Tract
13067030107,152,Tract
13067030108,214,Tract
13067030109,452,Tract
13067030110,383,Tract
13067030111,322,Tract
13067030112,926,Tract
13067030113,224,Tract
13067030220,74,Tract
13067030233,50,Tract
13067030235,69,Tract
13067030236,49,Tract
13067030240,495,Tract
13067030241,57,Tract
13067030242,192,Tract
13067030243,260,Tract
13067030244,32,Tract
13067030245,266,Tract
13067030246,188,Tract
13067030247,1406,Tract
13067030248,2189,Tract
13067030249,874,Tract
13067030250,9,Tract
13067030251,13,Tract
13067030252,81,Tract
13067030253,145,Tract
13067030254,109,Tract
13067030255,799,Tract
13067030256,13,Tract
13067030257,958,Tract
13067030258,688,Tract
13067030259,461,Tract
13067030260,320,Tract
13067030261,179,Tract
13067030262,167,Tract
13067030263,218,Tract
13067030264,22,Tract
13067030265,46,Tract
13067030266,0,Tract
13067030267,8,Tract
13067030268,0,Tract
13067030269,43,Tract
13067030270,52,Tract
13067030271,99,Tract
13067030272,79,Tract
13067030273,117,Tract
13067030274,218,Tract
13067030275,563,Tract
13067030276,36,Tract
13067030277,24,Tract
13067030278,576,Tract
13067030319,103,Tract
13067030322,39,Tract
13067030324,92,Tract
13067030326,52,Tract
13067030327,354,Tract
13067030329,214,Tract
13067030331,38,Tract
13067030332,90,Tract
13067030334,142,Tract
13067030335,108,Tract
13067030337,73,Tract
13067030340,68,Tract
13067030341,159,Tract
13067030342,97,Tract
13067030343,21,Tract
13067030344,1798,Tract
13067030345,3971,Tract
13067030346,271,Tract
13067030347,291,Tract
13067030348,224,Tract
13067030349,172,Tract
13067030350,170,Tract
13067030351,4,Tract
13067030352,238,Tract
13067030353,646,Tract
13067030354,410,Tract
13067030355,1146,Tract
13067030356,2125,Tract
13067030357,42,Tract
13067030358,55,Tract
13067030359,56,Tract
13067030360,26,Tract
13067030361,281,Tract
13067030362,135,Tract
13067030363,171,Tract
13067030364,135,Tract
13067030365,167,Tract
13067030366,41,Tract
13067030367,79,Tract
13067030368,59,Tract
13067030369,15,Tract
13067030370,19,Tract
13067030405,1461,Tract
13067030407,546,Tract
13067030408,582,Tract
13067030409,52,Tract
13067030410,1040,Tract
13067030411,779,Tract
13067030412,1487,Tract
13067030413,2203,Tract
13067030414,1334,Tract
13067030505,2040,Tract
13067030506,953,Tract
13067030507,212,Tract
13067030508,359,Tract
13067030509,42,Tract
13067030510,164,Tract
13067030511,485,Tract
13067030602,801,Tract
13067030603,1874,Tract
13067030604,1036,Tract
13067030700,923,Tract
13067030800,803,Tract
13067030906,584,Tract
13067030907,385,Tract
13067030908,309,Tract
13067030909,110,Tract
13067030910,522,Tract
13067030911,624,Tract
13067030912,1554,Tract
13067031001,1124,Tract
13067031004,1951,Tract
13067031005,401,Tract
13067031006,850,Tract
13067031007,1672,Tract
13067031101,1601,Tract
13067031110,421,Tract
13067031111,642,Tract
13067031112,773,Tract
13067031113,565,Tract
13067031114,2948,Tract
13067031115,394,Tract
13067031116,625,Tract
13067031117,400,Tract
13067031118,712,Tract
13067031119,334,Tract
13067031120,369,Tract
13067031121,952,Tract
13067031122,298,Tract
13067031207,2774,Tract
13067031209,194,Tract
13067031212,145,Tract
13067031213,478,Tract
13067031214,1123,Tract
13067031215,1289,Tract
13067031216,1174,Tract
13067031217,1340,Tract
13067031218,853,Tract
13067031219,1071,Tract
13067031220,972,Tract
13067031221,393,Tract
13067031306,677,Tract
13067031308,650,Tract
13067031314,265,Tract
13067031315,113,Tract
13067031316,317,Tract
13067031317,478,Tract
13067031318,821,Tract
13067031319,946,Tract
13067031320,1442,Tract
13067031321,518,Tract
13067031322,436,Tract
13067031323,248,Tract
13067031324,125,Tract
13067031325,43,Tract
13067031409,717,Tract
13067031410,337,Tract
13067031411,506,Tract
13067031412,1170,Tract
13067031413,945,Tract
13067031414,205,Tract
13067031415,202,Tract
13067031416,197,Tract
13067031417,504,Tract
13067031506,457,Tract
13067031507,358,Tract
13067031510,235,Tract
13067031511,589,Tract
13067031512,288,Tract
13067031513,185,Tract
13067031514,148,Tract
13067031515,140,Tract
13067031516,75,Tract
13067031517,289,Tract
13067031518,124,Tract
13089020100,222,Tract
13089020200,367,Tract
13089020300,233,Tract
13089020400,252,Tract
13089020500,639,Tract
13089020600,753,Tract
13089020700,804,Tract
13089020801,66,Tract
13089020802,483,Tract
13089020901,370,Tract
13089020902,448,Tract
13089021101,121,Tract
13089021103,1104,Tract
13089021104,524,Tract
13089021204,739,Tract
13089021208,1034,Tract
13089021210,84,Tract
13089021211,53,Tract
13089021213,10,Tract
13089021217,347,Tract
13089021219,293,Tract
13089021220,493,Tract
13089021221,568,Tract
13089021222,1772,Tract
13089021223,347,Tract
13089021224,1655,Tract
13089021225,1094,Tract
13089021226,1814,Tract
13089021227,1280,Tract
13089021228,16,Tract
13089021229,57,Tract
13089021230,1330,Tract
13089021301,1422,Tract
13089021305,1146,Tract
13089021306,1425,Tract
13089021307,445,Tract
13089021308,612,Tract
13089021309,386,Tract
13089021310,728,Tract
13089021405,680,Tract
13089021409,1120,Tract
13089021410,1093,Tract
13089021411,1108,Tract
13089021412,192,Tract
13089021415,1014,Tract
13089021416,280,Tract
13089021417,1401,Tract
13089021418,948,Tract
13089021419,804,Tract
13089021420,510,Tract
13089021421,421,Tract
13089021502,1316,Tract
13089021503,906,Tract
13089021505,998,Tract
13089021506,830,Tract
13089021602,464,Tract
13089021604,15,Tract
13089021606,877,Tract
13089021607,524,Tract
13089021608,1308,Tract
13089021609,209,Tract
13089021703,92,Tract
13089021707,43,Tract
13089021708,612,Tract
13089021709,830,Tract
13089021710,113,Tract
13089021711,221,Tract
13089021712,968,Tract
13089021808,395,Tract
13089021812,326,Tract
13089021813,1017,Tract
13089021815,1785,Tract
13089021816,230,Tract
13089021817,205,Tract
13089021818,532,Tract
13089021819,133,Tract
13089021820,779,Tract
13089021821,204,Tract
13089021822,309,Tract
13089021823,481,Tract
13089021824,401,Tract
13089021906,735,Tract
13089021908,1261,Tract
13089021910,757,Tract
13089021911,1156,Tract
13089021912,25,Tract
13089021913,1799,Tract
13089021914,621,Tract
13089021915,260,Tract
13089021916,684,Tract
13089021917,809,Tract
13089022001,680,Tract
13089022005,983,Tract
13089022007,1028,Tract
13089022010,207,Tract
13089022011,949,Tract
13089022012,767,Tract
13089022013,880,Tract
13089022014,650,Tract
13089022015,235,Tract
13089022016,279,Tract
13089022100,641,Tract
13089022203,690,Tract
13089022205,616,Tract
13089022206,1081,Tract
13089022302,691,Tract
13089022303,735,Tract
13089022304,646,Tract
13089022401,886,Tract
13089022403,128,Tract
13089022404,698,Tract
13089022405,323,Tract
13089022501,1138,Tract
13089022502,92,Tract
13089022601,946,Tract
13089022602,239,Tract
13089022700,216,Tract
13089022800,282,Tract
13089022900,630,Tract
13089023000,279,Tract
13089023101,614,Tract
13089023102,593,Tract
13089023107,414,Tract
13089023108,825,Tract
13089023111,181,Tract
13089023112,1202,Tract
13089023113,879,Tract
13089023114,370,Tract
13089023115,0,Tract
13089023209,381,Tract
13089023211,481,Tract
13089023212,447,Tract
13089023213,1038,Tract
13089023214,1114,Tract
13089023215,308,Tract
13089023216,665,Tract
13089023217,324,Tract
